266,14421,NULL,NULL,this,DT,passage,NN
574,14421,in,IN,this,DT,way,NN
789,14421,from,IN,this,DT,theater,NN
824,14421,NULL,NULL,this,DT,enterprise,NN
1213,14421,.,.,this,DT,led,VBN
1221,14421,describe,VB,this,DT,arcade,NN
1357,14421,.,.,this,DT,young,JJ
1521,14421,;,:,this,DT,emancipation,NN
1771,14421,between,IN,this,DT,date,NN
1947,14421,with,IN,this,DT,",",","
2222,14421,--,:,this,DT,said,VBD
2263,14421,",",",",this,DT,type,NN
2280,14421,by,IN,this,DT,class,NN
3177,14421,.,.,this,DT,third,JJ
3296,14421,into,IN,this,DT,place,NN
3442,14421,air,NN,this,DT,small,JJ
3562,14421,by,IN,this,DT,),)
3797,14421,",",",",this,DT,handwritten,JJ
4125,14421,--,:,this,DT,is,VBZ
4199,14421,.,.,this,DT,``,``
5207,14421,in,IN,this,DT,street,NN
5354,14421,that,IN,this,DT,should,MD
5503,14421,;,:,this,DT,has,VBZ
5542,14421,enjoyed,VBN,this,DT,spectacle,NN
5674,14421,of,IN,this,DT,palace,NN
6275,14421,of,IN,this,DT,spacious,JJ
6633,14421,for,IN,this,DT,.,.
7175,14421,.,.,this,DT,book,NN
7287,14421,that,WDT,this,DT,litterateur-manufacturer,NN
8511,14421,brought,VBD,this,DT,arcade,NN
9425,14421,of,IN,this,DT,neighborhood,NN
9453,14421,.,.,this,DT,state,NN
9475,14421,in,IN,this,DT,area,NN
9568,14421,",",",",this,DT,provisional,JJ
9588,14421,",",",",this,DT,20th,JJ
9672,14421,at,IN,this,DT,turning,NN
10126,14421,.,.,this,DT,was,VBD
10515,14421,.,.,this,DT,explains,VBZ
10681,14421,confirm,VB,this,DT,",",","
11238,14421,o'clock,NN,this,DT,cleaning,NN
12303,14421,ignore,VB,this,DT,clear,JJ
12435,14421,and,CC,this,DT,temple,NN
12475,14421,at,IN,this,DT,moment,NN
12522,14421,as,IN,this,DT,may,MD
12630,14421,",",",",this,DT,fate,NN
12769,14421,that,IN,this,DT,title,NN
12979,14421,all,DT,this,DT,--,:
13803,14421,passed,VBN,this,DT,enchanting,NN
14415,14421,to,TO,this,DT,intoxication,NN
