143,6309,to,TO,this,DT,elegant,JJ
190,6309,across,IN,this,DT,threshold,NN
331,6309,on,IN,this,DT,whim,NN
1061,6309,",",",",this,DT,is,VBZ
1109,6309,.,.,this,DT,thirst,NN
1191,6309,.,.,this,DT,was,VBD
1279,6309,.,.,this,DT,historicizing,NN
1877,6309,.,.,this,DT,man,NN
1887,6309,in,IN,this,DT,mu-,NN
2172,6309,of,IN,this,DT,image,NN
2227,6309,of,IN,this,DT,building,NN
2467,6309,on,IN,this,DT,myth,NN
2566,6309,of,IN,this,DT,phenomenon,NN
2637,6309,saw,VBD,this,DT,",",","
2720,6309,that,WDT,this,DT,reproduction,NN
2903,6309,of,IN,this,DT,assembly,NN
3287,6309,--,:,this,DT,was,VBD
3335,6309,--,:,this,DT,was,VBD
3499,6309,in,IN,this,DT,way,NN
3823,6309,in,IN,this,DT,hideous,JJ
3922,6309,"""","""",this,DT,last,JJ
3987,6309,hling,VBG,this,DT,strange,JJ
4630,6309,in,IN,this,DT,unbreathable,JJ
4712,6309,of,IN,this,DT,old,JJ
4907,6309,that,IN,this,DT,image,NN
5147,6309,does,VBZ,this,DT,not,RB
5183,6309,as,IN,this,DT,one,CD
5315,6309,of,IN,this,DT,greco-german-italianate,JJ
5520,6309,in,IN,this,DT,stone,NN
5543,6309,that,IN,this,DT,stone,NN
5941,6309,things,NNS,this,DT,way,NN
6166,6309,of,IN,this,DT,should,MD
6199,6309,for,IN,this,DT,particular,JJ
6214,6309,.,.,this,DT,veritable,JJ
