166,19018,discover,VB,this,DT,north,NNP
272,19018,bear,VB,this,DT,project,NN
313,19018,of,IN,this,DT,work,NN
490,19018,.,.,this,DT,is,VBZ
617,19018,of,IN,this,DT,work,NN
731,19018,of,IN,this,DT,undertaking,NN
791,19018,of,IN,this,DT,project,NN
835,19018,and,CC,this,DT,impressionism,NN
894,19018,NULL,NULL,this,DT,work,NN
1064,19018,;,:,this,DT,is,VBZ
1486,19018,as,IN,this,DT,element,NN
1531,19018,to,TO,this,DT,initially,RB
1844,19018,NULL,NULL,this,DT,research,NN
1959,19018,of,IN,this,DT,project,NN
2093,19018,of,IN,this,DT,work,NN
2204,19018,how,WRB,this,DT,work,NN
2362,19018,in,IN,this,DT,undertaking,NN
2541,19018,yet,CC,this,DT,amazement,NN
2609,19018,for,IN,this,DT,reason,NN
2680,19018,to,TO,this,DT,definition,NN
2908,19018,--,:,this,DT,at,IN
2937,19018,to,TO,this,DT,world,NN
2984,19018,.,.,this,DT,is,VBZ
3174,19018,of,IN,this,DT,basic,JJ
3261,19018,locate,VBP,this,DT,origin,NN
3355,19018,study,VBP,this,DT,age,NN
3520,19018,",",",",this,DT,acceding,VBG
3578,19018,(,:,this,DT,point,NN
3814,19018,.,.,this,DT,is,VBZ
3925,19018,how,WRB,this,DT,work,NN
4031,19018,--,:,this,DT,would,MD
4215,19018,on,IN,this,DT,mechanism,NN
4409,19018,in,IN,this,DT,case,NN
4421,19018,in,IN,this,DT,same,JJ
4540,19018,just,RB,this,DT,particular,JJ
4550,19018,at,IN,this,DT,moment,NN
4653,19018,.,.,this,DT,one,CD
4820,19018,.,.,this,DT,notion,NN
4864,19018,along,IN,this,DT,way,NN
4987,19018,if,IN,this,DT,is,VBZ
5011,19018,that,IN,this,DT,should,MD
5276,19018,after,IN,this,DT,work,NN
5290,19018,if,IN,this,DT,is,VBZ
5473,19018,by,IN,this,DT,minute,NN
5505,19018,.,.,this,DT,sap,NN
6099,19018,of,IN,this,DT,thing,NN
6266,19018,--,:,this,DT,time,NN
6282,19018,follow,VB,this,DT,course,NN
6588,19018,in,IN,this,DT,way,NN
7092,19018,all,DT,this,DT,semblance,NN
7155,19018,",",",",this,DT,is,VBZ
7208,19018,to,TO,this,DT,",",","
7317,19018,is,VBZ,this,DT,:,:
7942,19018,in,IN,this,DT,retrospective,JJ
8603,19018,.,.,this,DT,holds,VBZ
8632,19018,to,TO,this,DT,line,NN
8800,19018,of,IN,this,DT,original,JJ
8819,19018,translates,VBZ,this,DT,image,NN
8894,19018,.,.,this,DT,image,NN
9045,19018,.,.,this,DT,nihilism,NN
9101,19018,taken,VBN,this,DT,subjective,JJ
9143,19018,in,IN,this,DT,regard,NN
9677,19018,of,IN,this,DT,semblance,NN
9804,19018,in,IN,this,DT,connection,NN
9943,19018,but,CC,this,DT,life,NN
10183,19018,from,IN,this,DT,it,PRP
10576,19018,.,.,this,DT,structure,NN
10639,19018,to,TO,this,DT,monadological,JJ
10818,19018,from,IN,this,DT,continuous,JJ
10935,19018,is,VBZ,this,DT,constellation,NN
10950,19018,in,IN,this,DT,constellation,NN
11214,19018,in,IN,this,DT,text,NN
11550,19018,in,IN,this,DT,process,NN
11722,19018,in,IN,this,DT,slow,JJ
11904,19018,.,.,this,DT,limit,NN
11967,19018,velop,VB,this,DT,concept,NN
12450,19018,to,TO,this,DT,clay,NN
12472,19018,of,IN,this,DT,historical,JJ
12716,19018,.,.,this,DT,latter,NN
13151,19018,"""","""",this,DT,lack,NN
13209,19018,(,:,this,DT,is,VBZ
13223,19018,.,.,this,DT,happiness,NN
13371,19018,upon,IN,this,DT,plane,NN
13488,19018,.,.,this,DT,can,MD
13536,19018,is,VBZ,this,DT,conviction,NN
13560,19018,calls,VBZ,this,DT,the,DT
14286,19018,be,VB,this,DT,if,IN
14359,19018,of,IN,this,DT,growth,NN
14713,19018,and,CC,this,DT,is,VBZ
14739,19018,provides,VBZ,this,DT,kind,NN
15259,19018,in,IN,this,DT,way,NN
15325,19018,in,IN,this,DT,way,NN
15563,19018,.,.,this,DT,vulgar,JJ
15938,19018,for,IN,this,DT,society,NN
16100,19018,in,IN,this,DT,sense,NN
16743,19018,from,IN,this,DT,specific,JJ
16774,19018,from,IN,this,DT,.,.
16905,19018,.,.,this,DT,most,RBS
17004,19018,of,IN,this,DT,school,NN
17674,19018,divulge,VB,this,DT,information,NN
17852,19018,of,IN,this,DT,semblance,NN
18194,19018,him,PRP,this,DT,ocean,NN
18274,19018,with,IN,this,DT,surfeit,NN
18499,19018,powerful,JJ,this,DT,activity,NN
18905,19018,',"""",this,DT,term,NN
