442,5164,with,IN,this,DT,thought,NN
619,5164,among,IN,this,DT,group,NN
739,5164,of,IN,this,DT,investigation,NN
765,5164,:,:,this,DT,was,VBD
1230,5164,of,IN,this,DT,art,NN
1247,5164,peculiar,JJ,this,DT,relation,NN
1297,5164,with,IN,this,DT,rubric,NN
1341,5164,now,RB,this,DT,genre,NN
1437,5164,paris,NNP,this,DT,winter,NN
1494,5164,",",",",this,DT,arrange-,NN
1507,5164,to,TO,this,DT,great,JJ
1667,5164,with,IN,this,DT,medium,NN
1767,5164,.,.,this,DT,is,VBZ
1826,5164,on,IN,this,DT,surface,NN
1895,5164,.,.,this,DT,comment,NN
1955,5164,of,IN,this,DT,idea,NN
2135,5164,with,IN,this,DT,cry,NN
2737,5164,at,IN,this,DT,session,NN
2798,5164,of,IN,this,DT,machine,NN
3637,5164,of,IN,this,DT,architecture,NN
4045,5164,.,.,this,DT,all,DT
4212,5164,to,TO,this,DT,the,DT
4296,5164,that,IN,this,DT,arcade,NN
4377,5164,",",",",this,DT,engineer,NN
4499,5164,of,IN,this,DT,invention,NN
4520,5164,at,IN,this,DT,point,NN
4780,5164,.,.,this,DT,feast,NN
4884,5164,"""","""",this,DT,first,JJ
