102,5104,",",",",this,DT,year,NN
423,5104,during,IN,this,DT,same,JJ
1013,5104,to,TO,this,DT,kind,NN
1047,5104,"""",``,this,DT,place,NN
1055,5104,under,IN,this,DT,gas,NN
1486,5104,",",",",this,DT,world,NN
1559,5104,in,IN,this,DT,strident,JJ
1680,5104,did,VBD,this,DT,throne,NN
2170,5104,.,.,this,DT,illumination,NN
2218,5104,since,IN,this,DT,sort,NN
2244,5104,offer,VBP,this,DT,subscription,NN
2249,5104,for,IN,this,DT,year,NN
2279,5104,pounds,NNS,this,DT,year,NN
2301,5104,border,VB,this,DT,famous,JJ
2312,5104,say,VBP,this,DT,to,TO
2379,5104,support,VB,this,DT,brilliant,JJ
2385,5104,in,IN,this,DT,manner,NN
2496,5104,;,:,this,DT,is,VBZ
2639,5104,",",",",this,DT,was,VBD
2811,5104,of,IN,this,DT,other,JJ
2930,5104,",",",",this,DT,excursus,NN
3000,5104,with,IN,this,DT,penetrating,JJ
3031,5104,.,.,this,DT,",",","
3093,5104,to,TO,this,DT,end,NN
3246,5104,all,DT,this,DT,in,IN
3297,5104,and,CC,this,DT,was,VBD
3692,5104,by,IN,this,DT,overlying,JJ
3752,5104,to,TO,this,DT,that,IN
3772,5104,detest,VB,this,DT,permanent,JJ
3963,5104,'before,IN,this,DT,period,NN
3984,5104,and,CC,this,DT,fact,NN
4010,5104,in,IN,this,DT,observation,NN
4131,5104,in,IN,this,DT,dazzling,NN
4447,5104,invention,NN,this,DT,gas,NN
4485,5104,',"""",this,DT,striking,JJ
4507,5104,to,TO,this,DT,general,JJ
4529,5104,of,IN,this,DT,form,NN
4599,5104,for,IN,this,DT,phenomenon,NN
