213,24921,when,WRB,this,DT,confusion,NN
645,24921,",",",",this,DT,boy,NN
690,24921,raises,VBZ,this,DT,lifeless,JJ
846,24921,that,IN,this,DT,revolution,NN
1214,24921,at,IN,this,DT,level,NN
1730,24921,of,IN,this,DT,thicket,NN
1798,24921,and,CC,this,DT,bloom,NN
1906,24921,for,IN,this,DT,organization,NN
2609,24921,in,IN,this,DT,action,NN
2902,24921,of,IN,this,DT,publication,NN
2974,24921,of,IN,this,DT,journal,NN
2996,24921,",",",",this,DT,register,NN
3004,24921,at,IN,this,DT,period,NN
3063,24921,in,IN,this,DT,way,NN
3079,24921,of,IN,this,DT,workers,NNS
3158,24921,.,.,this,DT,is,VBZ
3174,24921,during,IN,this,DT,period,NN
3273,24921,of,IN,this,DT,trade,NN
3414,24921,which,WDT,this,DT,habit,NN
3466,24921,if,IN,this,DT,drink,NN
3612,24921,.,.,this,DT,individual,NN
4457,24921,to,TO,this,DT,publication,NN
4473,24921,",",",",this,DT,travel,JJ
4609,24921,see,VB,this,DT,funeral,NN
5005,24921,in,IN,this,DT,way,NN
5425,24921,call,VBP,this,DT,doing,NN
5818,24921,to,TO,this,DT,lack,NN
5941,24921,of,IN,this,DT,sinister,NN
5967,24921,but,CC,this,DT,respect,NN
6171,24921,in,IN,this,DT,bourgeoisie,NN
6733,24921,.,.,this,DT,could,MD
6874,24921,of,IN,this,DT,party,NN
6971,24921,for,IN,this,DT,reason,NN
7041,24921,understand,VB,this,DT,new,JJ
7097,24921,which,WDT,this,DT,writer,NN
7129,24921,that,IN,this,DT,is,VBZ
7203,24921,and,CC,this,DT,terrible,JJ
7378,24921,:,:,this,DT,cross,NN
7837,24921,'',``,this,DT,people,NNS
8240,24921,of,IN,this,DT,moment,NN
8299,24921,.,.,this,DT,scene,NN
9002,24921,of,IN,this,DT,alliance,NN
9114,24921,exploited,VBN,this,DT,sad,JJ
9270,24921,.,.,this,DT,is,VBZ
9420,24921,.,.,this,DT,evening,NN
9531,24921,``,``,this,DT,woman,NN
9911,24921,following,VBG,this,DT,passage,NN
9922,24921,read,VB,this,DT,",",","
9948,24921,of,IN,this,DT,penultimate,JJ
10932,24921,atop,IN,this,DT,gleaming,JJ
10985,24921,for,IN,this,DT,human,JJ
12450,24921,all,DT,this,DT,fermentation,NN
12469,24921,in,IN,this,DT,cri-,NN
12750,24921,and,CC,this,DT,is,VBZ
13248,24921,",",",",this,DT,sky,NN
13268,24921,all,DT,this,DT,is,VBZ
13273,24921,all,DT,this,DT,a,DT
13304,24921,on,IN,this,DT,part,NN
13495,24921,"""","""",this,DT,is,VBZ
13887,24921,with,IN,this,DT,note,NN
14016,24921,in,IN,this,DT,history,NN
14092,24921,in,IN,this,DT,regard,NN
15051,24921,of,IN,this,DT,critique,NN
15166,24921,.,.,this,DT,undertaking,NN
15229,24921,of,IN,this,DT,book,NN
15462,24921,for,IN,this,DT,.,.
15804,24921,to,TO,this,DT,consciousness,NN
15882,24921,at,IN,this,DT,period,NN
16177,24921,disavows,VBZ,this,DT,relationship,NN
16406,24921,``,``,this,DT,``,``
17047,24921,for,IN,this,DT,rests,VBZ
17235,24921,be,VB,this,DT,sacred,JJ
17239,24921,",",",",this,DT,voluntary,JJ
17350,24921,if,IN,this,DT,is,VBZ
17713,24921,to,TO,this,DT,poetry,NN
18257,24921,",",",",this,DT,douhle,JJ
18423,24921,realized,VBN,this,DT,during,IN
18555,24921,with,IN,this,DT,party,NN
19767,24921,for,IN,this,DT,intellectual,JJ
19929,24921,of,IN,this,DT,year,NN
20028,24921,of,IN,this,DT,emancipation,NN
21167,24921,but,CC,this,DT,is,VBZ
21204,24921,hut,CC,this,DT,force,NN
21390,24921,that,IN,this,DT,principle,NN
21526,24921,ceived,VBD,this,DT,preposterous,JJ
21681,24921,.,.,this,DT,last,JJ
21813,24921,was,VBD,this,DT,last,JJ
22127,24921,',"""",this,DT,in,IN
22411,24921,which,WDT,this,DT,confusion,NN
22647,24921,",",",",this,DT,captain,NNP
22654,24921,",",",",this,DT,sinbad,NNP
22667,24921,.,.,this,DT,voyager,NN
22853,24921,of,IN,this,DT,unknown,NN
22924,24921,had,VBD,this,DT,to,TO
23050,24921,of,IN,this,DT,vanished,JJ
23577,24921,at,IN,this,DT,point,NN
23583,24921,``,``,this,DT,is,VBZ
23664,24921,ahout,IN,this,DT,episode,NN
23686,24921,.,.,this,DT,was,VBD
24099,24921,``,``,this,DT,proletarian,JJ
24405,24921,against,IN,this,DT,revolutionary,JJ
24465,24921,of,IN,this,DT,camp,NN
24814,24921,is,VBZ,this,DT,pale,JJ
24827,24921,",",",",this,DT,boy,NN
24864,24921,",",",",this,DT,child,NN
