132,3772,of,IN,this,DT,revolution,NN
334,3772,.,.,this,DT,is,VBZ
462,3772,.,.,this,DT,type,NN
542,3772,with,IN,this,DT,decree,NN
739,3772,on,IN,this,DT,conception,NN
766,3772,of,IN,this,DT,formidable,JJ
883,3772,him,PRP,this,DT,audience,NN
1291,3772,in,IN,this,DT,way,NN
1327,3772,of,IN,this,DT,accursed,JJ
1340,3772,",",",",this,DT,fatal,JJ
1641,3772,at,IN,this,DT,underground,NN
2034,3772,despite,IN,this,DT,--,","
2302,3772,of,IN,this,DT,militarism,NN
2390,3772,!,.,this,DT,proclamation,NN
2774,3772,that,IN,this,DT,improvement,NN
2881,3772,regarding,VBG,this,DT,insurrection,NN
3206,3772,.,.,this,DT,is,VBZ
3734,3772,'',``,this,DT,orgy,NN
