437,6168,.,.,this,DT,lack,NN
519,6168,in,IN,this,DT,manner,NN
652,6168,``,``,this,DT,dreary,JJ
1351,6168,and,CC,this,DT,army,NN
1407,6168,.,.,this,DT,is,VBZ
1525,6168,of,IN,this,DT,is,VBZ
1685,6168,;,:,this,DT,will,MD
1923,6168,for,IN,this,DT,it,PRP
1943,6168,do,VB,this,DT,if,IN
2308,6168,by,IN,this,DT,more,RBR
2573,6168,of,IN,this,DT,periodical,NN
2583,6168,when,WRB,this,DT,issue,NN
2744,6168,certainly,RB,this,DT,system,NN
2887,6168,for,IN,this,DT,is,VBZ
3668,6168,and,CC,this,DT,mot,NN
3963,6168,",",",",this,DT,signifies,VBZ
4159,6168,on,IN,this,DT,point,NN
4318,6168,of,IN,this,DT,divine,JJ
5148,6168,",",",",this,DT,concern,NN
5394,6168,in,IN,this,DT,manner,NN
5467,6168,.,.,this,DT,does,VBZ
5520,6168,all,DT,this,DT,studied,JJ
5648,6168,of,IN,this,DT,doctrine,NN
5816,6168,leave,VB,this,DT,world,NN
5856,6168,for,IN,this,DT,reason,NN
5994,6168,of,IN,this,DT,sound,NN
6140,6168,"""","""",this,DT,sentence,NN
