266,14421,this,NNP,NULL,NULL,passage,NN
574,14421,this,DT,in,NNP,way,NN
789,14421,this,DT,from,IN,theater,NN
824,14421,this,DT,/,NN,enterprise,NN
1213,14421,this,DT,.,.,led,VBN
1221,14421,this,DT,descrihe,VB,s,NNP
1357,14421,this,DT,.,.,young,JJ
1521,14421,this,DT,;,:,emancipation,NN
1771,14421,this,DT,between,IN,date,NN
1947,14421,this,DT,with,IN,",",","
2222,14421,this,DT,â€”,VBP,said,VBD
2263,14421,this,DT,",",",",type,NN
2280,14421,this,DT,by,IN,class,NN
3177,14421,this,DT,.,.,third,JJ
3296,14421,this,DT,into,IN,place,NN
3442,14421,this,DT,air,NN,small,JJ
3562,14421,this,DT,by,IN,),NN
3797,14421,this,DT,",",",",handwritten,NN
4125,14421,this,DT,â€”,:,is,VBZ
4199,14421,this,DT,.,.,``,``
5207,14421,this,DT,in,IN,street,NN
5354,14421,this,DT,that,IN,should,MD
5503,14421,this,DT,;,:,has,VBZ
5542,14421,this,DT,enjoyed,VBN,spectacle,NN
5674,14421,this,DT,of,IN,palace,NN
6275,14421,this,DT,of,IN,spacious,JJ
6633,14421,this,DT,for,IN,.,.
7175,14421,this,DT,.,.,book,NN
7287,14421,this,DT,that,WDT,litterateur-manufacturer,NN
8511,14421,this,DT,brought,VBD,arcade,NN
9425,14421,this,DT,of,IN,neighborhood,NN
9453,14421,this,DT,.,.,state,NN
9475,14421,this,DT,in,IN,area,NN
9568,14421,this,DT,",",",",provisional,JJ
9588,14421,this,DT,",",",",20th,JJ
9672,14421,this,DT,at,IN,turning,NN
10126,14421,this,DT,.,.,was,VBD
10515,14421,this,DT,.,.,explains,VBZ
10681,14421,this,DT,confirm,VB,",",","
11238,14421,this,DT,o'clock,NN,cleaning,NN
12303,14421,this,DT,ignore,VB,clear,JJ
12435,14421,this,DT,and,CC,temple,NN
12475,14421,this,DT,at,IN,moment,NN
12522,14421,this,DT,as,IN,may,MD
12630,14421,this,DT,",",",",fate,NN
12769,14421,this,DT,that,IN,title,NN
12979,14421,this,DT,all,DT,â€”,NN
13803,14421,this,DT,passed,VBN,enchanting,NN
14415,14421,this,DT,to,TO,intoxication,NN
