143,6309,this,DT,to,TO,elegant,NN
190,6309,this,DT,across,IN,threshold,NN
331,6309,this,DT,on,IN,whim,NN
1061,6309,this,DT,",",",",is,VBZ
1109,6309,this,DT,.,.,thirst,NN
1191,6309,this,DT,.,.,was,VBD
1279,6309,this,DT,.,.,historicizing,NN
1877,6309,this,DT,.,.,man,NN
1887,6309,this,DT,in,IN,mu-,NN
2172,6309,this,DT,of,IN,image,NN
2227,6309,this,DT,of,IN,building,NN
2467,6309,this,DT,on,IN,myth,NN
2566,6309,this,DT,of,IN,phenomenon,NN
2637,6309,this,DT,saw,VBD,",",","
2720,6309,this,DT,that,WDT,reproduction,NN
2903,6309,this,DT,of,IN,assembly,NN
3287,6309,this,DT,—,:,was,VBD
3335,6309,this,DT,—,:,was,VBD
3499,6309,this,DT,in,IN,way,NN
3823,6309,this,DT,in,IN,hideous,JJ
3922,6309,this,DT,'','',last,JJ
3987,6309,this,DT,hling,NN,strange,NN
4630,6309,this,DT,in,IN,unbreathable,JJ
4712,6309,this,DT,of,IN,old,JJ
4907,6309,this,DT,that,IN,image,NN
5147,6309,this,DT,does,VBZ,not,RB
5183,6309,this,DT,as,IN,one,CD
5315,6309,this,DT,of,IN,greco-german-italianate,JJ
5520,6309,this,DT,in,IN,stone,NN
5543,6309,this,DT,that,IN,stone,NN
5941,6309,this,DT,things,NNS,way,NN
6166,6309,this,DT,of,IN,should,MD
6199,6309,this,DT,for,IN,particular,JJ
6214,6309,this,DT,.,.,veritable,JJ
