213,24921,this,DT,when,WRB,confusion,NN
645,24921,this,DT,",",",",boy,NN
690,24921,this,DT,raises,VBZ,lifeless,NN
846,24921,this,DT,that,IN,revolution,NN
1214,24921,this,DT,at,IN,level,NN
1730,24921,this,DT,of,IN,thicket,NN
1798,24921,this,DT,and,CC,bloom,NN
1906,24921,this,DT,for,IN,organization,NN
2609,24921,this,DT,in,IN,action,NN
2902,24921,this,DT,of,IN,publication,NN
2974,24921,this,DT,of,IN,journal,NN
2996,24921,this,DT,",",",",register,NN
3004,24921,this,DT,at,IN,period,NN
3063,24921,this,DT,in,IN,way,NN
3079,24921,this,DT,of,IN,workers,NNS
3158,24921,this,DT,.,.,is,VBZ
3174,24921,this,DT,during,IN,period,NN
3273,24921,this,DT,of,IN,trade,NN
3414,24921,this,DT,which,WDT,habit,NN
3466,24921,this,DT,if,IN,drink,NN
3612,24921,this,DT,.,.,individual,JJ
4457,24921,this,DT,to,TO,publication,NN
4473,24921,this,DT,",",",",travel,NN
4609,24921,this,DT,see,VB,funeral,JJ
5005,24921,this,DT,in,IN,way,NN
5425,24921,this,DT,call,VBP,doing,NN
5818,24921,this,DT,to,TO,lack,NN
5941,24921,this,DT,of,IN,sinister,NN
5967,24921,this,DT,but,CC,respect,NN
6171,24921,this,DT,in,IN,bourgeoisie,NN
6733,24921,this,DT,.,.,could,MD
6874,24921,this,DT,of,IN,party,NN
6971,24921,this,DT,for,IN,reason,NN
7041,24921,this,DT,understand,VB,new,JJ
7097,24921,this,DT,which,WDT,writer,NN
7129,24921,this,DT,that,IN,is,VBZ
7203,24921,this,DT,and,CC,terrible,JJ
7378,24921,this,DT,:,:,cross,NN
7837,24921,this,DT,'','',people,NNS
8240,24921,this,DT,of,IN,moment,NN
8299,24921,this,DT,.,.,scene,NN
9002,24921,this,DT,of,IN,alliance,NN
9114,24921,this,DT,exploited,VBN,sad,JJ
9270,24921,this,DT,.,.,is,VBZ
9420,24921,this,DT,.,.,evening,NN
9531,24921,this,DT,``,``,woman,NN
9911,24921,this,DT,following,VBG,passage,NN
9922,24921,this,DT,read,VB,",",","
9948,24921,this,DT,of,IN,penultimate,NN
10932,24921,this,DT,atop,VB,gleaming,NN
10985,24921,this,DT,f«r,JJ,human,NN
12450,24921,this,DT,all,DT,fermentation,NN
12469,24921,this,DT,in,IN,cri-,NN
12750,24921,this,DT,and,CC,is,VBZ
13248,24921,this,DT,",",",",sky,NN
13268,24921,this,DT,all,DT,is,VBZ
13273,24921,this,DT,all,DT,a,DT
13304,24921,this,DT,on,IN,part,NN
13495,24921,this,DT,15,CD,is,VBZ
13887,24921,this,DT,with,IN,note,NN
14016,24921,this,DT,in,IN,history,NN
14092,24921,this,DT,in,IN,regard,NN
15051,24921,this,DT,of,IN,critique,NN
15166,24921,this,DT,.,.,undertaking,NN
15229,24921,this,DT,of,IN,book,NN
15462,24921,this,DT,for,IN,.,.
15804,24921,this,DT,to,TO,consciousness,NN
15882,24921,this,DT,at,IN,period,NN
16177,24921,this,DT,disavows,VBZ,relationship,NN
16406,24921,this,DT,``,``,'prophetic,JJ
17047,24921,this,DT,for,IN,rests,NNS
17235,24921,this,DT,be,VB,sacred,VBN
17239,24921,this,DT,",",",",voluntary,JJ
17350,24921,this,DT,if,IN,is,VBZ
17713,24921,this,DT,to,TO,poetry,NN
18257,24921,this,DT,",",",",douhle,NN
18423,24921,this,DT,realized,VBN,during,IN
18555,24921,this,DT,with,IN,party,NN
19767,24921,this,DT,for,IN,intellectual,JJ
19929,24921,this,DT,of,IN,year,NN
20028,24921,this,DT,of,IN,emancipation,NN
21167,24921,this,DT,but,CC,is,VBZ
21204,24921,this,DT,hut,NN,force,NN
21390,24921,this,DT,that,IN,principle,NN
21526,24921,this,DT,ceived,VBD,preposterous,JJ
21681,24921,this,DT,.,.,last,JJ
21813,24921,this,DT,was,VBD,last,JJ
22127,24921,this,DT,'','',in,IN
22411,24921,this,DT,which,WDT,confusion,NN
22647,24921,this,DT,",",",",captain,NNP
22654,24921,this,DT,",",",",sinbad,NNP
22667,24921,this,DT,.,.,voyager,NN
22853,24921,this,DT,of,IN,unknown,NN
22924,24921,this,DT,had,VBD,to,TO
23050,24921,this,DT,of,IN,vanished,JJ
23577,24921,this,DT,at,IN,point,NN
23583,24921,this,DT,``,``,is,VBZ
23664,24921,this,DT,ahout,NN,episode,NN
23686,24921,this,DT,.,.,was,VBD
24099,24921,this,DT,``,``,proletarian,JJ
24405,24921,this,DT,against,IN,revolutionary,NN
24465,24921,this,DT,of,IN,camp,NN
24814,24921,this,DT,is,VBZ,pale,NN
24827,24921,this,DT,",",",",boy,NN
24864,24921,this,DT,",",",",child,NN
